Id	quartile	guideScore	mfe	gq	dr	result
PPIB-50	4	1.6500666775518975	-14.9	0	0	(((((((....((((.........))))........((((.......)))))))))))...... (-14.90)
PPIB-51	2	0.5570092552421299	-9.8	0	1	..(((((....((((.........)))).)))))........((((......))))........ ( -9.80)
PPIB-52	4	1.1374860505768445	-9.6	0	0	(.(((((....((((.........)))).))))).)......((((((......))).)))... ( -9.60)
PPIB-55	2	0.39850729618407593	-7.2	0	0	(((((.(.((((.........((((((........))))))))))).)))))............ ( -7.20)
PPIB-58	3	0.6349706428135117	-7.2	0	0	...........((((.........))))...((((((.((............))..)))))).. ( -7.20)
PPIB-59	1	0.19149939061038135	-15.5	0	0	.....(((((...(((((((((....(((.(((....))))))..)))))))))...))))).. (-15.50)
PPIB-60	1	0.08540928899741626	-16.8	0	0	..(((((....((((.........)))).))))).((((((((((......))))))))))... (-16.80)
PPIB-61	3	0.8526101473729966	-11.4	0	0	(((((......((((.........))))........((((((....))))))...))))).... (-11.40)
PPIB-62	3	0.9281084580082295	-7.3	0	0	(.(((((....((((.........)))).))))).).((.((...........)).))...... ( -7.30)
PPIB-64	3	0.8107351944768774	-8.9	0	0	......((((.........((((((((((..((........))..)))))..))))).)))).. ( -8.90)
PPIB-65	3	0.7892707932821612	-10.7	0	0	...................(((((..(((.......)))..)))))((((........)))).. (-10.70)
PPIB-66	2	0.4401621932348495	-13.5	0	0	..(((((....((((.........)))).)))))((.(((((........))))).))...... (-13.50)
PPIB-67	1	0.18567928042931883	-21.4	0	0	.....................(((((((.(((((.((((.....))))..))))).))))))). (-21.40)
PPIB-68	2	0.338557763707671	-15.9	0	0	.....................(((((((.(((((.....))))).)))))))............ (-15.90)
PPIB-70	1	0.19404818123298379	-12.0	0	1	..(((((....((((.........)))).))))).......((((......))))......... (-12.00)
PPIB-72	3	0.6202486809816689	-9.1	0	0	(.(((((....((((.........)))).))))).)((....))..........(((...))). ( -9.10)
PPIB-73	3	0.702388880881375	-12.7	0	0	(.(((((....((((.........)))).))))).).............((((.......)))) (-12.70)
PPIB-75	3	0.5968669357371803	-13.82	1	0	.....................(((((.(.((......++.++.++...++))).)))))..... (-13.82)
PPIB-76	3	0.7898377432098391	-10.7	0	0	....................((((.(.(((......(((....)))....))).).)))).... (-10.70)
PPIB-77	2	0.4941152254495973	-18.8	0	1	..(((((....((((.........)))).)))))...((((((((((......)))))))))). (-18.80)
PPIB-78	3	0.6387485992480979	-9.8	0	0	..(((((....((((.........)))).))))).(((....((........)).....))).. ( -9.80)
PPIB-79	1	0.16414300228863768	-12.3	0	0	(.(((((....((((.........)))).))))).).((.(((......))).))......... (-12.30)
PPIB-80	1	0.25470537912233876	-14.3	0	0	..(((((....((((.........)))).))))).((.((..((....))..))))........ (-14.30)
